Product_ID,Product_Name,Product_Price
1.0,FinPredictor Suite,140000
2.0,MarketMinder Analytics,168000
3.0,TrendWise Forecaster,100800
4.0,CustomerScope Insights,123200
5.0,SalesSync Optimizer,84000
6.0,RevenueVue Dashboard,179200
7.0,DataBridge Integration Tool,151200
21.0,RiskRadar Monitor,151200
9.0,Product 9,112000
10.0,SegmentX Targeting,89600
11.0,OptiFlow Automation,156800
12.0,BudgetMaster Pro,84000
13.0,ForecastXcelerator ,196000
14.0,InsightMax Insights Platform,128800
15.0,NexGen Segmentator,100800
21.0,SpendTrack Plus,106400
17.0,RealTime Revenue,168000
18.0,DashSync Analytics Hub,134400
19.0,EcoNomix Modeler,95200
20.0,FinSphere Intelligence Suite,224000
